CodArt,Designation,Vente,DateMvt,Region
1014026,"Relief Pak Cold Pack, Throat",1.0,2026-04-09 10:33:17.927,Sfax
MDJ055,"Adaptateur De Filetage 28Mm, Dosyproof",1.0,2026-04-13 17:02:14.207,
FKG515,Set De 6 Spatules Et 1 Pince,5.0,2026-04-11 11:47:02.677,Sfax
415501-1621-000,OBJECTIVE IPLAN-ACHROMAT 20X/0.45 D=0 FOR PRIMOSTAR 3 (WD=1.0MM),1.0,2026-04-11 13:31:53.270,Sfax
11839000,FISHERBRAND™ BROSSES À MANCHE FLEXIBLE,10.0,2026-04-11 15:37:07.080,Sfax
KLB002,Alcoomètre 0-50,1.0,2026-04-15 14:20:47.447,Sfax
KLB002,Alcoomètre 0-50,10.0,2026-04-11 12:17:26.510,Sfax
16134517,"X4 Fisherbrand 3810ml WM clear glass type3 bottle,",1.0,2026-04-11 13:29:27.467,Sfax
DDB037,Fiole Jaugée A Glassco B.Plastique Verre Brun 10mL,1.0,2026-04-15 15:20:19.540,Sfax
LBM006,Adaptateur Ballon Fond Rond 50 mL P/ Rslab,1.0,2026-04-15 15:10:11.667,Sfax
FHB030,Raccord Pp Forme Y Pp Cône Diam.4Mm. (Sachet De 100P),1.0,2026-04-15 15:09:41.040,Sfax
QBB038,Bassin Gestant,1.0,2026-04-16 15:47:19.027,Sfax
15483660,SONDE EXTERNE PT1000,2.0,2026-04-11 13:32:07.843,
30158529,"TISSUE CULTURE TEST PLATE, 24 WELLS",1.0,2026-04-02 14:40:14.750,
1025886,CHEST PACKAGE ,1.0,2026-04-02 11:40:28.850,
,,1.0,2026-04-11 13:32:07.843,
