CodArt,Designation,Vente,DateMvt,Region,Gouvernorat,Population,Indice_Achat,Nb_Hopitaux,Nb_Laboratoires,Mois,Trimestre
1014026,"Relief Pak Cold Pack, Throat",8.771168611520732,2026-04-09 10:33:17.927,SFAX,SFAX,955421,1.2,8,24,4,2
MDJ055,"Adaptateur De Filetage 28Mm, Dosyproof",11.168199257224718,2026-04-13 17:02:14.207,TUNIS,TUNIS,1056284,1.5,12,36,4,2
FKG515,Set De 6 Spatules Et 1 Pince,9.952377067723647,2026-04-11 11:47:02.677,SFAX,SFAX,955421,1.2,8,24,4,2
415501-1621-000,OBJECTIVE IPLAN-ACHROMAT 20X/0.45 D=0 FOR PRIMOSTAR 3 (WD=1.0MM),10.499371211271766,2026-04-11 13:31:53.270,SFAX,SFAX,955421,1.2,8,24,4,2
11839000,FISHERBRAND™ BROSSES À MANCHE FLEXIBLE,8.613456754067286,2026-04-11 15:37:07.080,SFAX,SFAX,955421,1.2,8,24,4,2
KLB002,Alcoomètre 0-50,9.769513852316269,2026-04-15 14:20:47.447,SFAX,SFAX,955421,1.2,8,24,4,2
KLB002,Alcoomètre 0-50,10.36953906272198,2026-04-11 12:17:26.510,SFAX,SFAX,955421,1.2,8,24,4,2
16134517,"X4 Fisherbrand 3810ml WM clear glass type3 bottle,",10.283145548481096,2026-04-11 13:29:27.467,SFAX,SFAX,955421,1.2,8,24,4,2
DDB037,Fiole Jaugée A Glassco B.Plastique Verre Brun 10mL,10.055310540127103,2026-04-15 15:20:19.540,SFAX,SFAX,955421,1.2,8,24,4,2
LBM006,Adaptateur Ballon Fond Rond 50 mL P/ Rslab,9.14515234092741,2026-04-15 15:10:11.667,SFAX,SFAX,955421,1.2,8,24,4,2
FHB030,Raccord Pp Forme Y Pp Cône Diam.4Mm. (Sachet De 100P),8.775481137109237,2026-04-15 15:09:41.040,SFAX,SFAX,955421,1.2,8,24,4,2
QBB038,Bassin Gestant,9.473281593717694,2026-04-16 15:47:19.027,SFAX,SFAX,955421,1.2,8,24,4,2
15483660,SONDE EXTERNE PT1000,11.615808106896408,2026-04-11 13:32:07.843,TUNIS,TUNIS,1056284,1.5,12,36,4,2
30158529,"TISSUE CULTURE TEST PLATE, 24 WELLS",10.023376544638616,2026-04-02 14:40:14.750,TUNIS,TUNIS,1056284,1.5,12,36,4,2
1025886,CHEST PACKAGE ,10.421396218772244,2026-04-02 11:40:28.850,TUNIS,TUNIS,1056284,1.5,12,36,4,2
,,11.004707177481812,2026-04-11 13:32:07.843,TUNIS,TUNIS,1056284,1.5,12,36,4,2
